model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
xgboost,etth1,HUFL,168,46,4.272409702199301,5.9895595854065435,61.56564235643363,42.172357444212324,35.87482402713541,14.690172573999007,42.34651280003163,401897,0.0
dlinear,ecl,aggregate_load,24,42,278267.5653363606,326964.1317872785,34.57693991781844,32.93285476413481,106905543475.40884,11.557159009003954,52.60551719984505,16176,26.3154296875
dlinear,ecl,aggregate_load,24,43,278234.0375880048,327052.624260634,34.56871095018124,32.928886768562506,106963419035.76744,12.008054093999817,56.82482030024403,16176,26.3154296875
dlinear,ecl,aggregate_load,24,44,278260.03876726865,327046.6602324664,34.57880098761119,32.93196399770116,106959517969.21033,11.42833015100041,56.48285620009119,16176,26.3154296875
dlinear,ecl,aggregate_load,24,45,278379.1797983687,327283.0318759567,34.586777031837016,32.94606429095281,107114182953.91847,12.000647930999548,58.738822400118806,16176,26.3154296875
dlinear,ecl,aggregate_load,24,46,278408.8260320543,327028.82659504935,34.59229288560436,32.9495729108205,106947853424.13484,11.980909277001047,54.646302300170646,16176,26.3154296875
dlinear,ecl,aggregate_load,96,42,279240.706318256,327085.3445062896,34.695240453661555,33.06933460706936,106984822590.79814,18.82311098699938,64.67157730003237,64704,29.83740234375
dlinear,ecl,aggregate_load,96,43,279201.50567368185,327209.2466584936,34.684956299940026,33.06469223508381,107065891098.81891,18.967685847997927,58.764508300009766,64704,29.83740234375
dlinear,ecl,aggregate_load,96,44,279184.2285380093,327103.7544687258,34.69016261159699,33.06264617457874,106996866187.53648,19.85841421900477,58.0122362000111,64704,29.83740234375
dlinear,ecl,aggregate_load,96,45,279197.7097222508,327193.03961357777,34.68661382488813,33.06424269608329,107055285171.57227,18.144476820001728,56.516624800133286,64704,29.83740234375
dlinear,ecl,aggregate_load,96,46,279313.57115946483,327141.4686534358,34.7021444025605,33.07796369215798,107021540512.72694,18.419343642999593,59.05236370017519,64704,29.83740234375
dlinear,ecl,aggregate_load,168,42,280264.0850171329,328102.09474312764,34.83927716972096,33.247449555880934,107650984574.8283,27.861467583003105,63.14955819980242,113232,32.6748046875
dlinear,ecl,aggregate_load,168,43,280267.56825044815,328191.3812120803,34.83521969753644,33.24786276838347,107709582701.893,27.025639733998105,69.19415230004233,113232,32.6748046875
dlinear,ecl,aggregate_load,168,44,280237.2819509071,328110.6518983667,34.83804399734202,33.24426993480237,107656599889.17116,23.997613836996607,73.00852830012445,113232,32.6748046875
dlinear,ecl,aggregate_load,168,45,280240.3470611789,328157.9698681762,34.83331067006572,33.24463354578427,107687653188.00284,23.923494850998395,57.102657799987355,113232,32.6748046875
dlinear,ecl,aggregate_load,168,46,280353.530450559,328109.4446390049,34.85113802967206,33.258060378654235,107655807661.31622,27.171355777998542,58.36630489975505,113232,32.6748046875
patchtst,ecl,aggregate_load,24,42,279684.4983862477,328951.28039921564,34.72393705744666,33.1005482223574,108208944876.28339,43.71264882399555,53.570329600188415,168280,608.609375
patchtst,ecl,aggregate_load,24,43,279424.9789680522,329181.55084918253,34.70559708135805,33.069834203288835,108360493419.47296,42.49674682600016,57.30922440016002,168280,608.609375
patchtst,ecl,aggregate_load,24,44,279292.8763883758,328175.6372068956,34.67546175161631,33.05419991596112,107699248856.15198,42.681649059002666,55.926615499993204,168280,608.609375
patchtst,ecl,aggregate_load,24,45,279040.0783625849,328087.91553161456,34.665676928908745,33.02428137098817,107641680317.87985,42.49982536299649,56.38785409973934,168280,608.609375
patchtst,ecl,aggregate_load,24,46,279034.33786140714,327701.76564943715,34.62821779854219,33.02360198497589,107388447209.7586,43.99455382699671,55.35033919986745,168280,608.609375
patchtst,ecl,aggregate_load,96,42,280222.7185223129,328626.83831375017,34.797993056041435,33.18563029544643,107995598860.0917,49.4938195409959,52.23616190014582,361888,612.43408203125
patchtst,ecl,aggregate_load,96,43,280060.5333748089,328343.98500658805,34.77897552861383,33.16642337185059,107809772490.00653,50.050910963000206,66.80086319975089,361888,612.43408203125
patchtst,ecl,aggregate_load,96,44,280017.0297012197,328212.76262020087,34.751348527686204,33.16127140974046,107723617546.78433,49.96661030400355,63.07680240024638,361888,612.43408203125
patchtst,ecl,aggregate_load,96,45,280048.8671983387,327972.12896296324,34.77652664075545,33.16504179429206,107565717376.49858,49.96796789099972,65.14963119989261,361888,612.43408203125
patchtst,ecl,aggregate_load,96,46,280199.71179639635,328513.14981372503,34.76791633034836,33.18290570300583,107920889600.53496,50.43878390500322,64.74644449990592,361888,612.43408203125
patchtst,ecl,aggregate_load,168,42,280850.51572136715,328978.6126182458,34.88728162856905,33.31701724685303,108226927560.22586,56.445576417001575,69.29023010015953,555496,617.30859375
patchtst,ecl,aggregate_load,168,43,280739.3744880834,328615.69703926396,34.8700107356975,33.30383267292893,107988276340.60133,57.24077085499448,71.79519189994608,555496,617.30859375
patchtst,ecl,aggregate_load,168,44,280924.0594722485,329042.3241392107,34.87069492103923,33.32574166884748,108268851074.93338,56.155876690001605,94.52492310010712,555496,617.30859375
patchtst,ecl,aggregate_load,168,45,280834.8598996944,328776.85438525985,34.87708071590107,33.3151600123048,108094219979.46637,57.779552718999184,65.55585580026673,555496,617.30859375
patchtst,ecl,aggregate_load,168,46,281032.20683242497,329304.9974403005,34.886057625999236,33.33857108258363,108441781339.15631,57.08680116499818,75.2839140001015,555496,617.30859375
itransformer,ecl,aggregate_load,24,42,283429.16145819623,335915.13789533323,35.11232573893825,33.54372759520322,112838979867.24072,24.81629924000299,55.82816030000686,311448,164.884765625
itransformer,ecl,aggregate_load,24,43,283040.00933866424,335542.929298947,35.09170651877243,33.49767159791798,112589057402.51814,22.829575609997846,51.970626799811726,311448,164.884765625
itransformer,ecl,aggregate_load,24,44,283050.8709470171,334719.6075368632,35.06602224715296,33.49895706491071,112037215669.63173,23.476165371997922,55.61037750012474,311448,164.884765625
itransformer,ecl,aggregate_load,24,45,283387.6119819619,336273.28622760327,35.12835846964361,33.53881023135344,113079723030.31158,23.75092381700233,56.15115280015743,311448,164.884765625
itransformer,ecl,aggregate_load,24,46,283698.9317863281,336228.37457411486,35.155206590795444,33.57565480535183,113049519868.75128,23.75048634000268,57.12572620032006,311448,164.884765625
itransformer,ecl,aggregate_load,96,42,280002.74731723795,327749.87154215825,34.766011903947245,33.159580005428005,107419978295.90121,31.422147479999694,67.76568890018098,320736,165.025390625
itransformer,ecl,aggregate_load,96,43,279899.0640655953,327728.3087801891,34.76283554649114,33.14730122205531,107405844375.92294,31.277058571999078,65.08859339992341,320736,165.025390625
itransformer,ecl,aggregate_load,96,44,279606.47143777844,327296.8403338117,34.725606416775804,33.11265067400158,107123221692.49663,31.987937720001355,71.32115969980077,320736,165.025390625
itransformer,ecl,aggregate_load,96,45,279892.0428348752,327776.2868252998,34.75600196621815,33.14646972642167,107437294204.9812,31.014424924000195,63.82357870024862,320736,165.025390625
itransformer,ecl,aggregate_load,96,46,279810.7355334055,327767.2532113339,34.750302959645566,33.13684083529849,107431372277.70267,31.198791736002022,63.47474899994268,320736,165.025390625
itransformer,ecl,aggregate_load,168,42,279576.86329078034,325906.64790025173,34.76190223632038,33.16592512623732,106215143145.57864,37.15594313099791,60.26142959999561,330024,165.16796875
itransformer,ecl,aggregate_load,168,43,279310.4138005866,326091.1158824999,34.73186691587142,33.13431648832046,106335415857.49399,39.734591600001295,76.01032759994268,330024,165.16796875
itransformer,ecl,aggregate_load,168,44,279446.57196476974,326316.5466590689,34.74981180989918,33.15046879586647,106482488623.50027,39.02153337699565,64.58174440012954,330024,165.16796875
itransformer,ecl,aggregate_load,168,45,279513.0421069691,326603.1971899827,34.75160058531975,33.15835408270089,106669648414.71873,38.31971043199883,72.35903039982077,330024,165.16796875
itransformer,ecl,aggregate_load,168,46,279533.22048278374,326351.72792451247,34.75684136854163,33.16074782334724,106505450319.31502,38.46719248599402,75.406508100059,330024,165.16796875
dlinear,etth1,HUFL,24,42,3.086740305502488,4.634799876847903,47.89602545234967,30.548128291377495,21.481369898429335,11.77580105099696,43.18332319999172,16176,26.24951171875
dlinear,etth1,HUFL,24,43,3.088604679032882,4.6324271005499895,47.94165076114603,30.5665791865461,21.459380841909983,10.302242147998186,39.719814300042344,16176,26.24951171875
