model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
itransformer,ecl,aggregate_load,96,44,37693.99329577715,61058.6365067005,4.262096744201338,4.414886420798991,3728157092.0573792,76.98259555599998,57.45398814997316,320736,165.025390625
itransformer,ecl,aggregate_load,96,45,37426.21273413065,60656.71697936395,4.22978123891115,4.383522782669955,3679237314.7146583,60.14494526300041,56.05688354999074,320736,165.025390625
itransformer,ecl,aggregate_load,96,46,37539.70946758799,60746.68898208948,4.252405680985195,4.396816019696184,3690160222.286711,93.31358782600093,55.92697414999748,320736,165.025390625
patchtst,ecl,aggregate_load,96,42,41040.60217401156,66214.29372266894,4.634251924115487,4.806855984127207,4384332693.1918745,167.89677358400013,66.64569699998992,361888,612.43408203125
patchtst,ecl,aggregate_load,96,43,42025.88067718168,67499.06180110003,4.729378820034027,4.922256139537067,4556123344.028722,143.4012537879994,58.76250535000054,361888,612.43408203125
patchtst,ecl,aggregate_load,96,44,41463.83405313707,65997.24910621095,4.762595076540458,4.856426764843872,4355636889.587261,146.410618291,70.48113569999259,361888,612.43408203125
patchtst,ecl,aggregate_load,96,45,43058.06892964448,68237.68159445633,4.968534011769144,5.043150571277116,4656381189.386403,104.43184175899978,60.62017874999128,361888,612.43408203125
patchtst,ecl,aggregate_load,96,46,41278.210191071455,66784.41569832397,4.6195648614223686,4.834685681017088,4460158180.16654,148.8222243579994,66.36620350000157,361888,612.43408203125
sarima,ecl,aggregate_load,96,42,267033.4820918032,320436.9534266188,32.071932221118225,30.538850389059466,102679841121.33308,109.64256273803768,4.093970800749958,0,0.0
seasonal_naive,ecl,aggregate_load,96,42,340658.82101319527,428618.3208884466,40.127731872845374,38.95889267196392,183713665001.23132,3.469800140010193e-05,0.0047674500819994,0,0.0
timesfm,ecl,aggregate_load,96,42,262766.32107431703,311382.38803457713,31.650022329807843,30.05084345120949,96958991578.11597,0.0,91.98613119951916,200000000,895.5625
